user_id,name,phone_number,city_id
1,Muni Marpaung,(052) 651-0127,3273
2,Mila Safitri,+62 (233) 405-0579,3578
3,Zahra Mandasari,+62 (934) 095 5082,6471
4,Galak Hardiansyah,(0001) 934 8807,3573
5,"Hj. Faizah Siregar, M.Pd",+62 (32) 422-3147,1375
6,"Cici Yulianti, S.Psi",(0164) 998-3646,3578
7,"Dr. Carla Hutagalung, S.Gz",+62-495-734-3432,3578
8,Mujur Mansur,(086) 425-1611,1371
9,Kiandra Hardiansyah,+62 (409) 752-3673,3471
10,Gilda Utama,+62 (0278) 330-1523,3172
11,Warsita Prabowo,+62-0084-429-2017,6471
12,Rahmi Nashiruddin,+62-99-297-6109,3172
13,Bakianto Hidayanto,(094) 686-6305,7371
14,"R. Betania Rahmawati, M.M.",+62-51-967-4188,3573
15,Ira Jailani,+62 (0764) 138-5611,3578
16,R. Tirtayasa Ardianto,+62-32-486-5242,3273
17,dr. Galar Astuti,(023) 763-3793,3578
18,"Puti Juli Saragih, S.Gz",+62 (86) 120-2681,3175
19,Gadang Maryadi,+62 (078) 387-1007,3172
20,Anita Dabukke,+62-16-194-6995,6471
21,"Jarwa Hasanah, S.Pd",+62-099-477-6020,3471
22,Karman Irawan,(027) 572 4162,3172
23,Teddy Pranowo,+62 (021) 870-9886,3273
24,Utama Rajasa,+62-0747-755-4311,3273
25,Gamani Andriani,(018) 891 7673,3273
26,Mulyanto Uyainah,(041) 680-6291,5171
27,Cut Rika Hakim,0838793244,1375
28,"Tgk. Fitriani Sinaga, S.E.",+62-783-732-7366,1375
29,"Olivia Sihombing, S.IP",+62 (986) 393-9969,3172
30,"Sadina Kurniawan, S.IP",+62 (0709) 460-4938,3175
31,Karimah Permadi,(082) 425-3797,3573
32,Malik Sitompul,(0372) 500 1532,7371
33,"Sutan Yoga Rajasa, S.Psi",0868900997,6471
34,Reza Laksita,+62-0769-524-1378,7371
35,"Ir. Gabriella Laksita, M.Pd",+62 (44) 689-1549,3174
36,"Artawan Hidayat, S.Psi",+62 (0793) 982 9779,3174
37,Teguh Tampubolon,080 035 4147,1371
38,"Gading Setiawan, S.Pd",+62-0750-942-5383,3573
39,Zulfa Sihotang,0841518546,7371
40,"Hj. Julia Megantara, S.E.",+62-78-408-6005,5171
41,"R. Najwa Jailani, S.Psi",(061) 178-8462,6471
42,"Dr. Carla Damanik, M.M.",+62 (44) 624-2935,3471
43,Nasab Budiman,080 276 0269,1375
44,T. Irwan Wahyuni,+62-0387-668-4429,5171
45,Bakiadi Widiastuti,(066) 962 9968,1371
46,Usyi Zulkarnain,+62 (73) 803-8053,3173
47,"drg. Putu Jailani, S.Pd",+62-95-798-8242,1371
48,H. Caraka Lailasari,+62-0236-535-6186,5171
49,Kiandra Permata,+62-244-441-4592,6471
50,Lasmanto Salahudin,+62-0644-658-6457,1375
51,drg. Okto Anggraini,0811338783,6471
52,Hasim Agustina,+62-019-229-5883,6472
53,"R.A. Tania Iswahyudi, S.IP",(0042) 477-3624,3174
54,Samsul Suryatmi,+62-096-066-4797,3273
55,Jaiman Setiawan,+62 (89) 715 5647,1375
56,R.M. Salman Prasasta,+62-0727-870-4765,7371
57,"Puji Salahudin, S.Gz",(0061) 241-8349,3175
58,"Ifa Maulana, S.E.",+62 (0586) 132 0798,1375
59,Drs. Gawati Agustina,+62-073-390-6763,3471
60,"Drs. Jayadi Pranowo, M.Pd",+62 (0499) 577 6875,1371
61,Unggul Hartati,+62 (0602) 907 2362,3573
62,"Ir. Laila Dabukke, M.Ak",+62 (0234) 819-6676,3175
63,Paramita Novitasari,+62 (0747) 655-0026,3172
64,Prasetyo Prayoga,+62 (285) 255 7881,7371
65,Lanjar Narpati,(0971) 110-4009,3573
66,Irfan Usamah,+62-34-997-7677,3174
67,Fathonah Marbun,082 445 8400,5171
68,Raihan Nugroho,+62 (108) 188 5877,3471
69,Dt. Sidiq Pradana,+62 (126) 372-2595,3171
70,Dian Sihotang,+62 (99) 550-2283,1371
71,"Dinda Adriansyah, S.Pt",+62 (0032) 901 0005,3273
72,Maimunah Sinaga,+62-938-711-5644,7371
73,"H. Warsa Padmasari, S.Pt",089 545 3370,3573
74,Dr. Paris Mandasari,+62 (771) 093 9299,3573
75,Darmanto Sihombing,+62-946-689-0064,6472
76,Wawan Haryanto,080 051 6262,3471
77,Yuni Oktaviani,085 565 7608,3273
78,Cinta Saefullah,+62 (53) 747 8103,3471
79,Dr. Maida Yulianti,+62 (085) 188 1386,3175
80,drg. Narji Pratama,+62 (0961) 131-3172,1371
81,"Among Yulianti, S.Pd",+62 (515) 478-6860,1375
82,Harto Hutasoit,+62 (072) 971-7775,3174
83,Heryanto Susanti,+62 (20) 228 3504,3578
84,Diah Pertiwi,+62 (018) 999-4164,3171
85,Puti Tina Suartini,(023) 212 2115,3174
86,Amelia Irawan,(020) 474-5688,3573
87,"Hj. Rahmi Tarihoran, S.E.I",0849233947,3578
88,Eka Laksita,+62 (0600) 793 2600,3171
89,Kasiyah Melani,+62 (76) 137 4532,3174
90,"Purwanto Ardianto, S.IP",+62-096-451-6082,1371
91,"Drs. Digdaya Suwarno, S.Kom",(027) 636-7179,6472
92,Cut Ade Damanik,+62 (265) 275-0749,3172
93,"Bagiya Sinaga, S.E.",+62 (097) 240-7703,1375
94,Malika Najmudin,+62-018-556-8494,3578
95,"Dt. Elon Prasetya, M.Ak",(0563) 256 2023,3171
96,"Puti Carla Mandasari, S.Pd",+62-0077-050-7704,3471
97,Gilda Maulana,+62 (050) 696 7264,1375
98,Vanesa Uwais,(009) 299 4682,3471
99,"Cornelia Firgantoro, S.H.",083 237 8467,3573
100,Jane Suryatmi,+62-041-456-4885,3174
